name,value
total_volume,377525030.2699189
PLU_4046,60221760.70845493
PLU_4225,53176313.67076684
PLU_4770,1060176.48131184
total_bags,12514766859656.3
small_bags,9390445514133.578
large_bags,658023568898.2297
xlarge_bags,13226412907.953983
